genotype,datelist,animal,variable,fram,lens
Sd,20160825c1v2,2,V100,5064,5
Sd,20160825c1v2,2,V101,5103,7
Sd,20160825c1v2,2,V104,5157,16
Sd,20160825c1v2,2,V107,5209,5
Sd,20160825c1v2,2,V108,5235,7
Sd,20160825c1v2,2,V111,5286,10
Sd,20160825c1v2,2,V116,5322,7
Sd,20160825c1v2,2,V118,5354,10
Sd,20160825c1v2,2,V120,5389,18
Sd,20160825c1v2,2,V122,5411,13
Sd,20160825c1v2,2,V126,5434,9
Sd,20160825c1v2,2,V127,5444,8
Sd,20160825c1v2,2,V130,5465,6
Sd,20160825c1v2,2,V134,5510,18
Sd,20160825c1v2,2,V135,5518,5
Sd,20160825c1v2,2,V139,5619,11
Sd,20160825c1v2,2,V140,5662,6
Sd,20160825c1v2,2,V142,5706,6
Sd,20160825c1v2,2,V143,5718,9
Sd,20160825c1v2,2,V144,5732,11
Sd,20160825c1v2,2,V145,5758,21
Sd,20160825c1v2,2,V146,5767,7
Sd,20160825c1v2,2,V151,5818,9
Sd,20160825c1v2,2,V155,5861,10
Sd,20160825c1v2,2,V158,5897,6
Sd,20160825c1v2,2,V161,5917,10
Sd,20160825c1v2,2,V162,5930,6
Sd,20160825c1v2,2,V164,5947,11
Sd,20160825c1v2,2,V166,5975,11
Sd,20160825c1v2,2,V169,6005,6
Sd,20160825c1v2,2,V174,6132,21
Sd,20160825c1v2,2,V175,6157,9
Sd,20160825c1v2,2,V176,6167,7
Sd,20160825c1v2,2,V182,6500,7
Sd,20160825c1v2,2,V183,6512,7
Sd,20160825c1v2,2,V184,6539,13
Sd,20160825c1v2,2,V187,6568,8
Sd,20160825c1v2,2,V189,6589,13
Sd,20160825c1v2,2,V192,6620,8
Sd,20160825c1v2,2,V193,6651,23
Sd,20160825c1v2,2,V194,6663,7
Sd,20160825c1v2,2,V196,6697,17
Sd,20160825c1v2,2,V198,6713,10
Sd,20160825c1v2,2,V203,6736,7
Sd,20160825c1v2,2,V207,6786,19
Sd,20160825c1v2,2,V210,6799,5
Sd,20160825c1v2,2,V212,6817,6
Sd,20160825c1v2,2,V213,6848,29
Sd,20160825c1v2,2,V216,6879,20
Sd,20160825c1v2,2,V218,6895,10
Sd,20160825c1v2,2,V220,6908,7
Sd,20160825c1v2,2,V225,6957,28
Sd,20160825c1v2,2,V226,6972,10
Sd,20160825c1v2,2,V227,6982,7
Sd,20160825c1v2,2,V229,7002,7
Sd,20160825c1v2,2,V234,7064,5
Sd,20160825c1v2,2,V236,7079,7
Sd,20160825c1v2,2,V239,7107,7
Sd,20160825c1v2,2,V242,7138,9
Sd,20160825c1v2,2,V243,7155,8
Sd,20160825c1v2,2,V248,7214,5
Sd,20160825c1v2,2,V251,7236,5
Sd,20160825c1v2,2,V255,7386,5
Sd,20160825c1v2,2,V256,7400,5
Sd,20160825c1v2,2,V259,7427,9
Sd,20160825c1v2,2,V269,7955,5
Sd,20160825c1v2,2,V282,9083,8
Sd,20160825c1v2,3,V2,1330,15
Sd,20160825c1v2,3,V3,1394,41
Sd,20160825c1v2,3,V4,1433,24
Sd,20160825c1v2,3,V6,1454,12
Sd,20160825c1v2,3,V7,1534,78
Sd,20160825c1v2,3,V8,1542,6
Sd,20160825c1v2,3,V9,1552,8
Sd,20160825c1v2,3,V11,1604,45
Sd,20160825c1v2,3,V13,1625,10
Sd,20160825c1v2,3,V18,1677,21
Sd,20160825c1v2,3,V22,1706,13
Sd,20160825c1v2,3,V25,1731,5
Sd,20160825c1v2,3,V26,1745,5
Sd,20160825c1v2,3,V29,1763,5
Sd,20160825c1v2,3,V38,2564,29
Sd,20160825c1v2,3,V40,2595,25
Sd,20160825c1v2,3,V41,2649,52
Sd,20160825c1v2,3,V43,2661,7
Sd,20160825c1v2,3,V44,2685,13
Sd,20160825c1v2,3,V46,2717,27
Sd,20160825c1v2,3,V49,2735,6
Sd,20160825c1v2,3,V50,2757,20
Sd,20160825c1v2,3,V52,2771,9
Sd,20160825c1v2,3,V53,2788,15
Sd,20160825c1v2,3,V56,2838,30
Sd,20160825c1v2,3,V58,2860,8
Sd,20160825c1v2,3,V63,2889,6
Sd,20160825c1v2,3,V64,2907,16
Sd,20160825c1v2,3,V70,2944,7
Sd,20160825c1v2,3,V72,2968,7
Sd,20160825c1v2,3,V74,2983,10
Sd,20160825c1v2,3,V75,3006,21
Sd,20160825c1v2,3,V77,3032,17
Sd,20160825c1v2,3,V79,3057,14
Sd,20160825c1v2,3,V80,3071,11
Sd,20160825c1v2,3,V81,3083,10
Sd,20160825c1v2,3,V82,3239,151
Sd,20160825c1v2,3,V84,3253,7
Sd,20160825c1v2,3,V85,3261,6
Sd,20160825c1v2,3,V86,3459,196
Sd,20160825c1v2,3,V88,3473,5
Sd,20160825c1v2,3,V89,3484,8
Sd,20160825c1v2,3,V91,3504,10
Sd,20160825c1v2,3,V93,3526,14
Sd,20160825c1v2,3,V94,3546,16
Sd,20160825c1v2,3,V98,3571,5
Sd,20160825c1v2,3,V113,4001,112
Sd,20160825c1v2,3,V114,4057,11
Sd,20160825c1v2,3,V115,4076,16
Sd,20160825c1v2,3,V116,4153,9
Sd,20160825c1v2,3,V118,4227,12
Sd,20160825c1v2,3,V120,4286,13
Sd,20160825c1v2,3,V121,4294,6
Sd,20160825c1v2,3,V122,4347,13
Sd,20160825c1v2,3,V123,4368,5
Sd,20160825c1v2,3,V124,4493,118
Sd,20160825c1v2,3,V126,4881,6
Sd,20160825c1v2,3,V130,5305,5
Sd,20160825c1v2,4,V6,1401,22
Sd,20160825c1v2,4,V9,1459,7
Sd,20160825c1v2,4,V10,1496,14
Sd,20160825c1v2,4,V15,1791,17
Sd,20160825c1v2,4,V16,1805,10
Sd,20160825c1v2,4,V17,1826,14
Sd,20160825c1v2,4,V22,1945,20
Sd,20160825c1v2,4,V23,1969,15
Sd,20160825c1v2,4,V29,2099,6
Sd,20160825c1v2,4,V32,2151,6
Sd,20160825c1v2,4,V34,2233,5
Sd,20160825c1v2,4,V45,2467,12
Sd,20160825c1v2,4,V48,2516,8
Sd,20160825c1v2,4,V50,2542,14
Sd,20160825c1v2,4,V55,2704,6
Sd,20160825c1v2,4,V56,2747,41
Sd,20160825c1v2,4,V57,2776,27
Sd,20160825c1v2,4,V59,2795,14
Sd,20160825c1v2,4,V60,2813,16
Sd,20160825c1v2,4,V61,2852,37
Sd,20160825c1v2,4,V63,2883,22
Sd,20160825c1v2,4,V65,2897,9
