notes,expt,transfected,added,mM,a,b,c,d,e,f,g,h,i,j,k,l
,npy,noreceptor,DEETFMRF,0.00488281,1.439,1.198,1.41,1.405,,,,,,,,
,npy,NPYLR7,blank,160,2.392,2.039,1.819,1.517,,,,,,,,
,npy,NPYLR7,blank,80,2.096,1.953,1.733,1.604,,,,,,,,
,npy,NPYLR7,blank,40,1.828,1.801,1.788,1.605,,,,,,,,
,npy,NPYLR7,blank,20,2.194,2.052,2.117,1.825,,,,,,,,
,npy,NPYLR7,blank,10,2.561,2.183,2.483,1.88,,,,,,,,
,npy,NPYLR7,blank,5,1.615,1.542,2.012,1.736,,,,,,,,
,npy,NPYLR7,blank,2.5,1.766,1.67,1.905,1.731,,,,,,,,
,npy,NPYLR7,blank,1.25,1.571,1.609,1.891,1.786,,,,,,,,
,npy,NPYLR7,blank,0.625,1.726,1.804,1.739,1.673,,,,,,,,
,npy,NPYLR7,blank,0.3125,1.637,1.502,2.138,1.812,,,,,,,,
,npy,NPYLR7,blank,0.15625,1.6,1.618,1.763,1.661,,,,,,,,
,npy,NPYLR7,blank,0.078125,1.635,1.571,1.769,1.752,,,,,,,,
,npy,NPYLR7,blank,0.0390625,1.908,1.628,1.816,1.666,,,,,,,,
,npy,NPYLR7,blank,0.01953125,1.941,1.566,2.212,1.727,,,,,,,,
,npy,NPYLR7,blank,0.00976563,2.416,1.428,2.341,1.708,,,,,,,,
,npy,NPYLR7,blank,0.00488281,1.712,1.587,1.899,1.73,,,,,,,,
,npy,NPYLR7,FMRF,160,4.41,4.075,4.247,4.942,,,,,,,,
,npy,NPYLR7,FMRF,80,4.479,4.558,4.114,4.051,,,,,,,,
,npy,NPYLR7,FMRF,40,4.89,4.465,4.77,4.383,,,,,,,,
,npy,NPYLR7,FMRF,20,4.767,4.51,4.69,4.426,,,,,,,,
,npy,NPYLR7,FMRF,10,4.872,4.333,5.205,4.769,,,,,,,,
,npy,NPYLR7,FMRF,5,4.648,4.554,5.419,4.748,,,,,,,,
,npy,NPYLR7,FMRF,2.5,4.752,4.46,4.911,4.87,,,,,,,,
,npy,NPYLR7,FMRF,1.25,4.735,4.477,5.145,4.669,,,,,,,,
,npy,NPYLR7,FMRF,0.625,4.684,4.396,5.15,4.725,,,,,,,,
,npy,NPYLR7,FMRF,0.3125,4.71,4.349,4.957,4.551,,,,,,,,
,npy,NPYLR7,FMRF,0.15625,4.754,4.584,5.641,4.888,,,,,,,,
,npy,NPYLR7,FMRF,0.078125,4.648,4.419,5.012,4.578,,,,,,,,
,npy,NPYLR7,FMRF,0.0390625,4.791,4.812,5.536,4.729,,,,,,,,
,npy,NPYLR7,FMRF,0.01953125,4.672,4.451,5.022,4.585,,,,,,,,
,npy,NPYLR7,FMRF,0.00976563,4.81,4.725,5.291,5.045,,,,,,,,
,npy,NPYLR7,FMRF,0.00488281,4.264,4.303,4.78,4.166,,,,,,,,
,npy,NPYLR7,DEET,160,3.457,3.304,3.585,2.083,,,,,,,,
,npy,NPYLR7,DEET,80,1.747,2.065,1.623,1.886,,,,,,,,
,npy,NPYLR7,DEET,40,1.611,1.815,1.412,1.403,,,,,,,,
,npy,NPYLR7,DEET,20,1.567,1.501,1.592,1.14,,,,,,,,
,npy,NPYLR7,DEET,10,1.515,1.562,1.654,1.324,,,,,,,,
,npy,NPYLR7,DEET,5,1.563,1.525,1.946,1.383,,,,,,,,
,npy,NPYLR7,DEET,2.5,1.597,1.354,1.85,1.516,,,,,,,,
,npy,NPYLR7,DEET,1.25,1.61,1.537,1.741,1.444,,,,,,,,
,npy,NPYLR7,DEET,0.625,1.754,1.506,1.613,1.368,,,,,,,,
,npy,NPYLR7,DEET,0.3125,1.623,1.502,1.735,1.433,,,,,,,,
,npy,NPYLR7,DEET,0.15625,1.402,1.647,1.777,1.526,,,,,,,,
,npy,NPYLR7,DEET,0.078125,1.687,1.428,1.631,1.506,,,,,,,,
,npy,NPYLR7,DEET,0.0390625,1.741,1.54,1.948,1.546,,,,,,,,
,npy,NPYLR7,DEET,0.01953125,2.355,1.836,2.162,1.565,,,,,,,,
,npy,NPYLR7,DEET,0.00976563,2.259,1.763,2.277,1.433,,,,,,,,
,npy,NPYLR7,DEET,0.00488281,1.698,1.806,2.218,1.545,,,,,,,,
the mM for the DEET/FMRFamide experiments have a single does of FMRFamide with increasing DEET (at mM listed in mM column),npy,NPYLR7,DEETFMRF,160,6.163,4.886,4.485,4.195,,,,,,,,
,npy,NPYLR7,DEETFMRF,80,3.315,3.124,3.027,2.786,,,,,,,,
,npy,NPYLR7,DEETFMRF,40,3.433,3.253,3.378,2.878,,,,,,,,
,npy,NPYLR7,DEETFMRF,20,3.589,3.406,3.38,3.145,,,,,,,,
,npy,NPYLR7,DEETFMRF,10,3.747,3.526,3.827,3.113,,,,,,,,
,npy,NPYLR7,DEETFMRF,5,3.784,3.799,4.428,3.48,,,,,,,,
,npy,NPYLR7,DEETFMRF,2.5,4.026,3.902,4.321,3.449,,,,,,,,
,npy,NPYLR7,DEETFMRF,1.25,4.128,4.057,4.762,4.013,,,,,,,,
,npy,NPYLR7,DEETFMRF,0.625,4.226,4.237,4.381,3.87,,,,,,,,
,npy,NPYLR7,DEETFMRF,0.3125,4.111,4.232,4.885,4.071,,,,,,,,
,npy,NPYLR7,DEETFMRF,0.15625,4.238,4.16,4.527,3.907,,,,,,,,
,npy,NPYLR7,DEETFMRF,0.078125,4.277,4.428,5.061,4.381,,,,,,,,
,npy,NPYLR7,DEETFMRF,0.0390625,4.363,4.126,4.501,3.985,,,,,,,,
,npy,NPYLR7,DEETFMRF,0.01953125,4.498,4.31,4.894,4.386,,,,,,,,
,npy,NPYLR7,DEETFMRF,0.00976563,4.244,4.128,4.776,3.995,,,,,,,,
,npy,NPYLR7,DEETFMRF,0.00488281,5.101,4.032,4.457,4.203,,,,,,,,
